typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","19900101","1990","52","1990","484","MEX","Mexico","X","Export","0","W00","World","0","W00","World","H0","HS","true","53","Vegetable textile fibres; paper yarn and woven fabrics of paper yarn","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"1761851","1761851","0","true","false",
"C","A","19900101","1990","52","1990","484","MEX","Mexico","X","Export","0","W00","World","0","W00","World","H0","HS","true","5302","True hemp (cannabis sativa L.), raw or processed but not spun; tow and waste of true hemp (including yarn waste and garnetted stock)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","41","false","-1","N/A",,"false","41","false",,"false",,"380","380","0","true","false",
"C","A","19900101","1990","52","1990","484","MEX","Mexico","X","Export","0","W00","World","0","W00","World","H0","HS","true","5303","Jute and other textile bast fibres (not flax, true hemp and ramie), raw or processed but not spun; tow and waste of these fibres, including yarn waste and garnetted stock","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","86646","false","-1","N/A",,"false","86646","false",,"false",,"33306","33306","0","true","false",
"C","A","19900101","1990","52","1990","484","MEX","Mexico","X","Export","0","W00","World","0","W00","World","H0","HS","true","5304","Sisal and other textile fibres of genus agave, raw or processed but not spun; tow and waste of these fibres (including yarn waste and garnetted stock)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","412623","false","-1","N/A",,"false","412623","false",,"false",,"243867","243867","0","true","false",
"C","A","19900101","1990","52","1990","484","MEX","Mexico","X","Export","0","W00","World","0","W00","World","H0","HS","true","5305","Coconut, abaca (manila hemp or musa textilis nee), ramie and other vegetable textile fibres n.e.s., raw or processed but not spun; tow and waste of these fibres (including yarn waste and garnetted stock)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","238","false","-1","N/A",,"false","238","false",,"false",,"41","41","0","true","false",
"C","A","19900101","1990","52","1990","484","MEX","Mexico","X","Export","0","W00","World","0","W00","World","H0","HS","true","5307","Yarn of jute or of other textile bast fibres of heading no. 5305","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","176","false","-1","N/A",,"false","176","false",,"false",,"2093","2093","0","true","false",
"C","A","19900101","1990","52","1990","484","MEX","Mexico","X","Export","0","W00","World","0","W00","World","H0","HS","true","5308","Yarn of other vegetable textile fibres; paper yarn","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2401","false","-1","N/A",,"false","2401","false",,"false",,"11107","11107","0","true","false",
"C","A","19910101","1991","52","1991","484","MEX","Mexico","X","Export","0","W00","World","0","W00","World","H0","HS","true","53","Vegetable textile fibres; paper yarn and woven fabrics of paper yarn","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"1624065","1624065","0","true","false",
"C","A","19910101","1991","52","1991","484","MEX","Mexico","X","Export","0","W00","World","0","W00","World","H0","HS","true","5301","Flax, raw or processed but not spun; flax tow and waste (including yarn waste and garnetted stock)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","8388","false","-1","N/A",,"false","8388","false",,"false",,"11311","11311","0","true","false",
"C","A","19910101","1991","52","1991","484","MEX","Mexico","X","Export","0","W00","World","0","W00","World","H0","HS","true","5302","True hemp (cannabis sativa L.), raw or processed but not spun; tow and waste of true hemp (including yarn waste and garnetted stock)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","296","false","-1","N/A",,"false","296","false",,"false",,"578","578","0","true","false",
