typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20010101","2001","52","2001","484","MEX","Mexico","X","Export","0","W00","World","0","W00","World","H1","HS","true","0101","Horses, asses, mules and hinnies; live","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","2736","false","-1","N/A",,"false",,"false",,"false",,"1936062","1936062","0","false","false",
"C","A","20010101","2001","52","2001","484","MEX","Mexico","X","Export","0","W00","World","0","W00","World","H1","HS","true","0102","Bovine animals; live","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1141662","false","-1","N/A",,"false",,"false",,"false",,"411425716","411425716","0","false","false",
"C","A","20010101","2001","52","2001","484","MEX","Mexico","X","Export","0","W00","World","0","W00","World","H1","HS","true","0103","Swine; live","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","201","false","-1","N/A",,"false","31082","true",,"false",,"115390","115390","4","false","false",
"C","A","20010101","2001","52","2001","484","MEX","Mexico","X","Export","0","W00","World","0","W00","World","H1","HS","true","0104","Sheep and goats; live","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1101","false","-1","N/A",,"false",,"false",,"false",,"55845","55845","0","false","false",
"C","A","20010101","2001","52","2001","484","MEX","Mexico","X","Export","0","W00","World","0","W00","World","H1","HS","true","0105","Poultry; live, fowls of the species gallus domesticus, ducks, geese, turkeys and guinea fowls","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","6938","false","-1","N/A",,"false","16840","true",,"false",,"25060","25060","4","false","false",
"C","A","20020101","2002","52","2002","484","MEX","Mexico","X","Export","0","W00","World","0","W00","World","H2","HS","true","0101","Horses, asses, mules and hinnies; live","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","2519","false","-1","N/A",,"false","253178","true",,"false",,"1741210","1741210","4","true","false",
"C","A","20020101","2002","52","2002","484","MEX","Mexico","X","Export","0","W00","World","0","W00","World","H2","HS","true","0102","Bovine animals; live","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","947913","false","-1","N/A",,"false","228369318","true",,"false",,"350580699","350580699","4","true","false",
"C","A","20020101","2002","52","2002","484","MEX","Mexico","X","Export","0","W00","World","0","W00","World","H2","HS","true","0103","Swine; live","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","49","false","-1","N/A",,"false","4831","true",,"false",,"23610","23610","4","true","false",
"C","A","20020101","2002","52","2002","484","MEX","Mexico","X","Export","0","W00","World","0","W00","World","H2","HS","true","0104","Sheep and goats; live","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","16","false","-1","N/A",,"false","6042","true",,"false",,"10862","10862","4","true","false",
"C","A","20020101","2002","52","2002","484","MEX","Mexico","X","Export","0","W00","World","0","W00","World","H2","HS","true","0105","Poultry; live, fowls of the species gallus domesticus, ducks, geese, turkeys and guinea fowls","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","33","false","-1","N/A",,"false",,"false",,"false",,"1980","1980","0","true","false",
