period,cmdCode,country_product_value,world_product_value,total_country_value,total_world_value,RCA,has_CA,sector
1990,18,21024808,2480700767,26344665088,5506762919445,1.771582391656224,TRUE,18
1990,1804,16982228,479948091,26344665088,5506762919445,7.396122509656364,TRUE,18
1990,1805,71,89832988,26344665088,5506762919445,1.6520614637596874e-4,FALSE,18
1990,1806,4042508,1265360537,26344665088,5506762919445,0.6677905970479885,FALSE,18
1991,18,11760521,2928958000,26956705792,7665683262709,1.1418195368016162,TRUE,18
1991,1803,4,190970797,26956705792,7665683262709,5.956307118987229e-6,FALSE,18
1991,1804,6263542,514483309,26956705792,7665683262709,3.462045378735496,TRUE,18
1991,1805,34054,92896917,26956705792,7665683262709,0.10424395558844878,FALSE,18
1991,1806,5462921,1571300461,26956705792,7665683262709,0.9886663076213672,FALSE,18
1992,18,34042000,4997544086,184779539480,9822734094946,0.36210701696560277,FALSE,18
1992,1801,21119000,590044884,184779539480,9822734094946,1.9026846229688663,TRUE,18
1992,1803,8000,238610809,184779539480,9822734094946,0.0017822900439685434,FALSE,18
1992,1804,5132000,944960366,184779539480,9822734094946,0.28870317597303646,FALSE,18
1992,1805,508000,269394289,184779539480,9822734094946,0.10024294909333699,FALSE,18
1992,1806,7275000,2946424351,184779539480,9822734094946,0.13125510684015235,FALSE,18
1993,18,35721000,5742253884,207545660288,11315396833376,0.3391543179560842,FALSE,18
1993,1801,17758000,649531523,207545660288,11315396833376,1.4905616768775434,TRUE,18
1993,1804,6682000,873009316,207545660288,11315396833376,0.4172955232877662,FALSE,18
1993,1805,10000,275180615,207545660288,11315396833376,0.001981245511094927,FALSE,18
1993,1806,11271000,3676834231,207545660288,11315396833376,0.1671261974653507,FALSE,18
1994,18,24183344,8386558679,242474249720,15033279859979,0.17878071993453398,FALSE,18
1994,1801,6017994,716931889,242474249720,15033279859979,0.5204295770921228,FALSE,18
1994,1804,5505128,1196405221,242474249720,15033279859979,0.2852838848275638,FALSE,18
1994,1805,224210,344795346,242474249720,15033279859979,0.04031639594448922,FALSE,18
1994,1806,12436012,5757982853,242474249720,15033279859979,0.13390564427314638,FALSE,18
1995,18,44776000,12113085708,318162623824,18689760662247,0.2171426252485341,FALSE,18
1995,1801,14144000,1874229581,318162623824,18689760662247,0.44330643954143756,FALSE,18
1995,1802,1000,50294126,318162623824,18689760662247,0.0011679851333304021,FALSE,18
1995,1803,105000,471641293,318162623824,18689760662247,0.013077720706473075,FALSE,18
1995,1804,12488000,1484776854,318162623824,18689760662247,0.49406749424956575,FALSE,18
1995,1805,40000,354056939,318162623824,18689760662247,0.0066365361037983815,FALSE,18
1995,1806,17998000,7872941261,318162623824,18689760662247,0.13428942572804303,FALSE,18
1996,18,45264016,14340026678,382644673469,19955898450558,0.16461853689527395,FALSE,18
1996,1801,10081825,3217955146,382644673469,19955898450558,0.16339350214730902,FALSE,18
1996,1803,1078,536458319,382644673469,19955898450558,1.0479930186356414e-4,FALSE,18
1996,1804,9156039,1681666881,382644673469,19955898450558,0.2839509171382696,FALSE,18
1996,1805,201888,344266801,382644673469,19955898450558,0.030583766889114,FALSE,18
1996,1806,25823188,8543838623,382644673469,19955898450558,0.15762766178256007,FALSE,18
1997,18,50691020,12869024182,440187616975,20833416309207,0.18642668812530855,FALSE,18
1997,1801,18543576,2651662278,440187616975,20833416309207,0.3309771022139443,FALSE,18
1997,1803,3805,581974605,440187616975,20833416309207,3.0943775252000315e-4,FALSE,18
1997,1804,6627356,1634782089,440187616975,20833416309207,0.19186824382252066,FALSE,18
1997,1805,41163,331931536,440187616975,20833416309207,0.005869230620390826,FALSE,18
1997,1806,25475120,7651139721,440187616975,20833416309207,0.1575842382573843,FALSE,18
1998,18,41550672,12752816152,469301386869,21012298624726,0.1458793030931902,FALSE,18
1998,1801,12483867,2682885469,469301386869,21012298624726,0.20833811315312495,FALSE,18
1998,1803,49610,647947586,469301386869,21012298624726,0.00342808101965767,FALSE,18
1998,1804,4609986,1666864364,469301386869,21012298624726,0.12382863092617957,FALSE,18
1998,1805,768931,370634159,469301386869,21012298624726,0.09288886447311326,FALSE,18
1998,1806,23638280,7360291421,469301386869,21012298624726,0.14379460407231742,FALSE,18
1999,18,51667392,11962693652,545051238195,21788133129929,0.1726514574429132,FALSE,18
1999,1801,6199314,2402931162,545051238195,21788133129929,0.10312999445498713,FALSE,18
1999,1803,10708,558460955,545051238195,21788133129929,7.664754296096701e-4,FALSE,18
1999,1804,8264521,1502545251,545051238195,21788133129929,0.21987346321897744,FALSE,18
1999,1805,30776,424150546,545051238195,21788133129929,0.0029005131086585517,FALSE,18
1999,1806,37162072,7051486497,545051238195,21788133129929,0.2106696295037836,FALSE,18
2000,18,51515819,10694874402.993,665177358120,25175799852569.816,0.18231010419821594,FALSE,18
2000,1801,279290,1758723818.5200005,665177358120,25175799852569.816,0.006010402550119522,FALSE,18
2000,1803,14340,477021437.11099994,665177358120,25175799852569.816,0.0011377768006907614,FALSE,18
2000,1804,3915683,1091868321.126,665177358120,25175799852569.816,0.13573225963514704,FALSE,18
2000,1805,182219,449209493.448,665177358120,25175799852569.816,0.015352904638278608,FALSE,18
2000,1806,47124287,6894152666.746,665177358120,25175799852569.816,0.2587079146629884,FALSE,18
2001,18,51115139,11846755408.409,158386216926,6066957030524.273,0.16527366485432846,FALSE,18
2001,1801,1229464,2018054416.497,158386216926,6066957030524.273,0.02333654062077825,FALSE,18
2001,1804,3979401,1090118343.6360002,158386216926,6066957030524.273,0.13982910902022883,FALSE,18
2001,1805,30008,539902604.458,158386216926,6066957030524.273,0.0021289975513946405,FALSE,18
2001,1806,45876266,7589989447.669998,158386216926,6066957030524.273,0.23152634904050012,FALSE,18
2002,18,72335870,14389929340.255,160750540171,6382452185986.582,0.19958604708808173,FALSE,18
2002,1801,2242717,3092739750.2019987,160750540171,6382452185986.582,0.028791628358423724,FALSE,18
2002,1804,9544524,1358895139.32,160750540171,6382452185986.582,0.27887106687485086,FALSE,18
2002,1805,124018,861609288.6369998,160750540171,6382452185986.582,0.005714911114612132,FALSE,18
2002,1806,60424611,8211056682.282001,160750540171,6382452185986.582,0.29217963490675924,FALSE,18
2003,18,96911520,17983400069.291,164906508836,7460586625940.911,0.24380285060072035,FALSE,18
2003,1801,2828470,3627307260.274,164906508836,7460586625940.911,0.03527787454778774,FALSE,18
2003,1803,5916,1032291311.616,164906508836,7460586625940.911,2.592752568225265e-4,FALSE,18
2003,1804,10022343,1750085743.634,164906508836,7460586625940.911,0.2590866971328096,FALSE,18
2003,1805,89182,1358549345.939,164906508836,7460586625940.911,0.002969866788774243,FALSE,18
2003,1806,83965609,9964884315.217,164906508836,7460586625940.911,0.38121006692627013,FALSE,18
2004,18,108467349,20122773305.696,187980442491,9039917778975.426,0.25921671591502654,FALSE,18
2004,1801,8725,3963746824.976,187980442491,9039917778975.426,1.0585499143592151e-4,FALSE,18
2004,1803,2815,963988995.109,187980442491,9039917778975.426,1.404294309638786e-4,FALSE,18
2004,1804,11069949,2048147846.699,187980442491,9039917778975.426,0.259917864231536,FALSE,18
2004,1805,140337,1363775455.094,187980442491,9039917778975.426,0.004948586105051169,FALSE,18
2004,1806,97245523,11674121716.458998,187980442491,9039917778975.426,0.400587332902967,FALSE,18
2005,18,129720599,20846747439.716,214207305610,10185629704194.646,0.2958858832835612,FALSE,18
2005,1801,1026968,3657855339.539,214207305610,10185629704194.646,0.013350083751417522,FALSE,18
2005,1803,21928,936019353.337,214207305610,10185629704194.646,0.0011139553896990931,FALSE,18
2005,1804,14383624,2637613183.066,214207305610,10185629704194.646,0.25930495870621406,FALSE,18
2005,1805,76335,985572695.912,214207305610,10185629704194.646,0.0036828891850480636,FALSE,18
2005,1806,114211744,12527435687.81,214207305610,10185629704194.646,0.4335130607452677,FALSE,18
2006,18,156468696,22935800198.676006,249960545529,11913905315826.49,0.32515935019304126,FALSE,18
2006,1801,2408279,4163036229.480001,249960545529,11913905315826.49,0.027572699563457537,FALSE,18
2006,1803,6129,1067859183.553,249960545529,11913905315826.49,2.735636029086243e-4,FALSE,18
2006,1804,10695598,2686589540.641,249960545529,11913905315826.49,0.1897520306248465,FALSE,18
2006,1805,1100010,866864155.484,249960545529,11913905315826.49,0.060482295865457184,FALSE,18
2006,1806,142258680,14038891854.062,249960545529,11913905315826.49,0.4829794209893365,FALSE,18
2007,18,185555973,27304718341.234005,271821215424,13614725775370.58,0.34037902193108605,FALSE,18
2007,1801,5874861,4573027877.559,271821215424,13614725775370.58,0.06434566520524282,FALSE,18
2007,1802,1146,133461455.558,271821215424,13614725775370.58,4.300850127136325e-4,FALSE,18
2007,1803,1030928,1265625310.3850002,271821215424,13614725775370.58,0.040798926122090476,FALSE,18
2007,1804,9516236,3332213073.4179997,271821215424,13614725775370.58,0.14304016031603467,FALSE,18
2007,1805,149893,1072855487.002,271821215424,13614725775370.58,0.00699786682636445,FALSE,18
2007,1806,168982909,16894929487.903002,271821215424,13614725775370.58,0.5009702622914332,FALSE,18
2008,18,263657182,32442432768.314003,291264808810,15751615789202.447,0.4395044606585971,FALSE,18
2008,1801,591467,5618537988.675,291264808810,15751615789202.447,0.005693040741216647,FALSE,18
2008,1802,105,185106641.09299996,291264808810,15751615789202.447,3.0676400091528e-5,FALSE,18
2008,1803,3394984,1525435925.756,291264808810,15751615789202.447,0.12035963335443173,FALSE,18
2008,1804,4845492,4339905694.063999,291264808810,15751615789202.447,0.06038021887751492,FALSE,18
2008,1805,147244,1243188044.215,291264808810,15751615789202.447,0.006405276421403479,FALSE,18
2008,1806,254677890,19446817936.637997,291264808810,15751615789202.447,0.708238920607633,FALSE,18
2009,18,412578160,33968534253.251,229712337305,12263213113142.586,0.6484095193434116,FALSE,18
2009,1801,206633,8043656907.548,229712337305,12263213113142.586,0.0013714061663603185,FALSE,18
2009,1802,10,189646637.477,229712337305,12263213113142.586,2.8149767227718484e-6,FALSE,18
2009,1803,2240560,1856351226.3029995,229712337305,12263213113142.586,0.06443419157164038,FALSE,18
2009,1804,16357362,4040055856.811,229712337305,12263213113142.586,0.2161453268200821,FALSE,18
2009,1805,436914,1465977539.6109998,229712337305,12263213113142.586,0.01591067480466242,FALSE,18
2009,1806,393336681,18314150363.827003,229712337305,12263213113142.586,1.1465622221222977,TRUE,18
2010,18,530685707,37583507248.559,298305075136,14912622812896.8,0.7058842251393354,FALSE,18
2010,1801,1514469,7725363801.019001,298305075136,14912622812896.8,0.009800197748091813,FALSE,18
2010,1803,777411,2493013508.095,298305075136,14912622812896.8,0.015589042493060139,FALSE,18
2010,1804,22848011,4255403274.197999,298305075136,14912622812896.8,0.26841146775752084,FALSE,18
2010,1805,484285,2720220753.599,298305075136,14912622812896.8,0.008900005173385477,FALSE,18
