"Indicator ID","Indicator","Sector ID","Sector","Value","Percentage"
119,"Unidades económicas que recibieron financimiento, según estado","11","Agricultura, Cría y Explotación de Animales, Aprovechamiento Forestal, Pesca y Caza",1795,7.369999885559082
119,"Unidades económicas que recibieron financimiento, según estado","21","Minería",308,9.859999656677246
119,"Unidades económicas que recibieron financimiento, según estado","22","Generación, Transmisión, Distribución y Comercialización de Energía Eléctrica, Suministro de Agua y de Gas Natural por Ductos al Consumidor Final",172,5.809999942779541
119,"Unidades económicas que recibieron financimiento, según estado","23","Construcción",5660,29.020000457763672
119,"Unidades económicas que recibieron financimiento, según estado","31-33","Industrias Manufactureras",57143,9.859999656677246
119,"Unidades económicas que recibieron financimiento, según estado","43","Comercio al por Mayor",30631,19.690000534057617
119,"Unidades económicas que recibieron financimiento, según estado","46","Comercio al por Menor",297739,14.229999542236328
119,"Unidades económicas que recibieron financimiento, según estado","48-49","Transportes, Correos y Almacenamiento",4904,22.049999237060547
119,"Unidades económicas que recibieron financimiento, según estado","51","Información en Medios Masivos",1529,17.31999969482422
119,"Unidades económicas que recibieron financimiento, según estado","52","Servicios Financieros y de Seguros",3108,11.789999961853027
119,"Unidades económicas que recibieron financimiento, según estado","53","Servicios Inmobiliarios y de Alquiler de Bienes Muebles e Intangibles",6714,9.869999885559082
119,"Unidades económicas que recibieron financimiento, según estado","54","Servicios Profesionales, Científicos y Técnicos",10654,10.640000343322754
119,"Unidades económicas que recibieron financimiento, según estado","55","Dirección y Administración de Grupos Empresariales o Corporativos",120,32.790000915527344
119,"Unidades económicas que recibieron financimiento, según estado","56","Servicios de Apoyo a los Negocios y Manejo de Residuos, y Servicios de Remediación",10101,13.279999732971191
119,"Unidades económicas que recibieron financimiento, según estado","61","Servicios Educativos",6101,11.399999618530273
119,"Unidades económicas que recibieron financimiento, según estado","62","Servicios de Salud y de Asistencia Social",17653,9
119,"Unidades económicas que recibieron financimiento, según estado","71","Servicios de Esparcimiento Culturales y Deportivos, y otros Servicios Recreativos",5190,10.109999656677246
119,"Unidades económicas que recibieron financimiento, según estado","72","Servicios de Alojamiento Temporal y de Preparación de Alimentos y Bebidas",74565,11.699999809265137
119,"Unidades económicas que recibieron financimiento, según estado","81","Otros Servicios Excepto Actividades Gubernamentales",62243,9.130000114440918
