typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","19900101","1990","52","1990","792","TUR","Türkiye","X","Export","0","W00","World","0","W00","World","GG","GG","true","-2","ALL","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","n/a",,"false","-1","n/a",,"false","35970097486","false",,"false",,"51837527180","51837527180","0","true","false",
"C","A","19900101","1990","52","1990","360","IDN","Indonesia","X","Export","0","W00","World","0","W00","World","GG","GG","true","-2","ALL","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","n/a",,"false","-1","n/a",,"false","215127440312","false",,"false",,"102701291881","102701291881","0","true","false",
"C","A","19900101","1990","52","1990","724","ESP","Spain","X","Export","0","W00","World","0","W00","World","GG","GG","true","-2","ALL","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","n/a",,"false","-1","n/a",,"false","121484580165","false",,"false",,"222528916932","222528916932","0","true","false",
"C","A","19900101","1990","52","1990","764","THA","Thailand","X","Export","0","W00","World","0","W00","World","GG","GG","true","-2","ALL","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","n/a",,"false","-1","n/a",,"false","72498910819","false",,"false",,"92274874852","92274874852","0","true","false",
"C","A","19910101","1991","52","1991","764","THA","Thailand","X","Export","0","W00","World","0","W00","World","GG","GG","true","-2","ALL","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","n/a",,"false","-1","n/a",,"false","73104868788","false",,"false",,"113683470120","113683470120","0","true","false",
"C","A","19910101","1991","52","1991","218","ECU","Ecuador","X","Export","0","W00","World","0","W00","World","GG","GG","true","-2","ALL","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","n/a",,"false","-1","n/a",,"false","6465642041","false",,"false",,"11405596778","11405596778","0","true","false",
"C","A","19910101","1991","52","1991","724","ESP","Spain","X","Export","0","W00","World","0","W00","World","GG","GG","true","-2","ALL","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","n/a",,"false","-1","n/a",,"false","122157408375","false",,"false",,"240739667787","240739667787","0","true","false",
"C","A","19910101","1991","52","1991","792","TUR","Türkiye","X","Export","0","W00","World","0","W00","World","GG","GG","true","-2","ALL","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","n/a",,"false","-1","n/a",,"false","45990180506","false",,"false",,"54373784436","54373784436","0","true","false",
"C","A","19910101","1991","52","1991","360","IDN","Indonesia","X","Export","0","W00","World","0","W00","World","GG","GG","true","-2","ALL","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","n/a",,"false","-1","n/a",,"false","230937421902","false",,"false",,"116569439671","116569439671","0","true","false",
"C","A","19920101","1992","52","1992","792","TUR","Türkiye","X","Export","0","W00","World","0","W00","World","GG","GG","true","-2","ALL","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","n/a",,"false","-1","n/a",,"false","50281801860","false",,"false",,"58858432500","58858432500","0","true","false",
