typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","19900101","1990","52","1990","360","IDN","Indonesia","X","Export","0","W00","World","0","W00","World","H0","HS","true","0701","Potatoes; fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","76774688","false","-1","N/A",,"false","76774688","false",,"false",,"10266052","10266052","0","true","false",
"C","A","19900101","1990","52","1990","360","IDN","Indonesia","X","Export","0","W00","World","0","W00","World","H0","HS","true","0702","Tomatoes; fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1444312","false","-1","N/A",,"false","1444312","false",,"false",,"259327","259327","0","true","false",
"C","A","19900101","1990","52","1990","360","IDN","Indonesia","X","Export","0","W00","World","0","W00","World","H0","HS","true","0703","Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5403933","false","-1","N/A",,"false","5403933","false",,"false",,"1296406","1296406","0","true","false",
"C","A","19900101","1990","52","1990","360","IDN","Indonesia","X","Export","0","W00","World","0","W00","World","H0","HS","true","0704","Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","27583634","false","-1","N/A",,"false","27583634","false",,"false",,"3815881","3815881","0","true","false",
"C","A","19900101","1990","52","1990","360","IDN","Indonesia","X","Export","0","W00","World","0","W00","World","H0","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","149308","false","-1","N/A",,"false","149308","false",,"false",,"20469","20469","0","true","false",
"C","A","19900101","1990","52","1990","360","IDN","Indonesia","X","Export","0","W00","World","0","W00","World","H0","HS","true","0706","Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots; fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2885795","false","-1","N/A",,"false","2885795","false",,"false",,"331906","331906","0","true","false",
"C","A","19900101","1990","52","1990","360","IDN","Indonesia","X","Export","0","W00","World","0","W00","World","H0","HS","true","0707","Cucumbers and gherkins; fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","120000","false","-1","N/A",,"false","120000","false",,"false",,"43962","43962","0","true","false",
"C","A","19900101","1990","52","1990","360","IDN","Indonesia","X","Export","0","W00","World","0","W00","World","H0","HS","true","0708","Leguminous vegetables; shelled or unshelled, fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1544138","false","-1","N/A",,"false","1544138","false",,"false",,"420634","420634","0","true","false",
"C","A","19900101","1990","52","1990","360","IDN","Indonesia","X","Export","0","W00","World","0","W00","World","H0","HS","true","0709","Vegetables, n.e.s. in chapter 07; fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3410681","false","-1","N/A",,"false","3410681","false",,"false",,"977362","977362","0","true","false",
"C","A","19900101","1990","52","1990","360","IDN","Indonesia","X","Export","0","W00","World","0","W00","World","H0","HS","true","0712","Vegetables, dried; whole, cut, sliced, broken or in powder, but not further prepared","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","426730","false","-1","N/A",,"false","426730","false",,"false",,"128071","128071","0","true","false",
