typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","19900101","1990","52","1990","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H0","HS","true","0701","Potatoes; fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","13010","false","-1","N/A",,"true","13010","false",,"false",,"12997","12997","0","false","false",
"C","A","19900101","1990","52","1990","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H0","HS","true","0702","Tomatoes; fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","249148","false","-1","N/A",,"true","249148","false",,"false",,"98507","98507","0","false","false",
"C","A","19900101","1990","52","1990","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H0","HS","true","0703","Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1394687","false","-1","N/A",,"true","1394687","false",,"false",,"1003107","1003107","0","false","false",
"C","A","19900101","1990","52","1990","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H0","HS","true","0706","Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots; fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5750","false","-1","N/A",,"true","5750","false",,"false",,"1200","1200","0","false","false",
"C","A","19900101","1990","52","1990","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H0","HS","true","0709","Vegetables, n.e.s. in chapter 07; fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1065422","false","-1","N/A",,"true","1065422","false",,"false",,"330282","330282","0","false","false",
"C","A","19900101","1990","52","1990","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H0","HS","true","0712","Vegetables, dried; whole, cut, sliced, broken or in powder, but not further prepared","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","73436","false","-1","N/A",,"true","73436","false",,"false",,"432765","432765","0","false","false",
"C","A","19900101","1990","52","1990","152","CHL","Chile","X","Export","0","W00","World","0","W00","World","H0","HS","true","0701","Potatoes; fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","0","false","-1","N/A",,"true",,"false",,"false",,"354901","354901","0","false","false",
"C","A","19900101","1990","52","1990","152","CHL","Chile","X","Export","0","W00","World","0","W00","World","H0","HS","true","0702","Tomatoes; fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","0","false","-1","N/A",,"true",,"false",,"false",,"1224227","1224227","0","false","false",
"C","A","19900101","1990","52","1990","152","CHL","Chile","X","Export","0","W00","World","0","W00","World","H0","HS","true","0703","Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","0","false","-1","N/A",,"true",,"false",,"false",,"16847200","16847200","0","false","false",
"C","A","19900101","1990","52","1990","152","CHL","Chile","X","Export","0","W00","World","0","W00","World","H0","HS","true","0704","Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","0","false","-1","N/A",,"true",,"false",,"false",,"22315","22315","0","false","false",
"C","A","19900101","1990","52","1990","152","CHL","Chile","X","Export","0","W00","World","0","W00","World","H0","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","0","false","-1","N/A",,"true",,"false",,"false",,"15883","15883","0","false","false",
"C","A","19900101","1990","52","1990","152","CHL","Chile","X","Export","0","W00","World","0","W00","World","H0","HS","true","0706","Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots; fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","0","false","-1","N/A",,"true",,"false",,"false",,"64179","64179","0","false","false",
"C","A","19900101","1990","52","1990","152","CHL","Chile","X","Export","0","W00","World","0","W00","World","H0","HS","true","0707","Cucumbers and gherkins; fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","0","false","-1","N/A",,"true",,"false",,"false",,"15958","15958","0","false","false",
"C","A","19900101","1990","52","1990","152","CHL","Chile","X","Export","0","W00","World","0","W00","World","H0","HS","true","0709","Vegetables, n.e.s. in chapter 07; fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","0","false","-1","N/A",,"true",,"false",,"false",,"6002623","6002623","0","false","false",
"C","A","19900101","1990","52","1990","152","CHL","Chile","X","Export","0","W00","World","0","W00","World","H0","HS","true","0712","Vegetables, dried; whole, cut, sliced, broken or in powder, but not further prepared","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","0","false","-1","N/A",,"true",,"false",,"false",,"10127557","10127557","0","false","false",
"C","A","19910101","1991","52","1991","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H0","HS","true","0701","Potatoes; fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","80144","false","-1","N/A",,"false","80144","false",,"false",,"35310","35310","0","true","false",
"C","A","19910101","1991","52","1991","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H0","HS","true","0702","Tomatoes; fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","8524647","false","-1","N/A",,"false","8524647","false",,"false",,"2500234","2500234","0","true","false",
"C","A","19910101","1991","52","1991","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H0","HS","true","0703","Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","466150","false","-1","N/A",,"false","466150","false",,"false",,"245321","245321","0","true","false",
"C","A","19910101","1991","52","1991","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H0","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","72000","false","-1","N/A",,"false","72000","false",,"false",,"8639","8639","0","true","false",
"C","A","19910101","1991","52","1991","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H0","HS","true","0708","Leguminous vegetables; shelled or unshelled, fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","46757","false","-1","N/A",,"false","46757","false",,"false",,"23716","23716","0","true","false",
"C","A","19910101","1991","52","1991","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H0","HS","true","0709","Vegetables, n.e.s. in chapter 07; fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2083709","false","-1","N/A",,"false","2083709","false",,"false",,"511772","511772","0","true","false",
"C","A","19910101","1991","52","1991","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H0","HS","true","0712","Vegetables, dried; whole, cut, sliced, broken or in powder, but not further prepared","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","30369","false","-1","N/A",,"false","30369","false",,"false",,"411829","411829","0","true","false",
"C","A","19910101","1991","52","1991","152","CHL","Chile","X","Export","0","W00","World","0","W00","World","H0","HS","true","0701","Potatoes; fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","614185","false","-1","N/A",,"false","614185","false",,"false",,"257691","257691","0","true","false",
"C","A","19910101","1991","52","1991","170","COL","Colombia","X","Export","0","W00","World","0","W00","World","H0","HS","true","0701","Potatoes; fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","31704458","false","-1","N/A",,"false","31704458","false",,"false",,"5457631","5457631","0","true","false",
"C","A","19910101","1991","52","1991","152","CHL","Chile","X","Export","0","W00","World","0","W00","World","H0","HS","true","0702","Tomatoes; fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1758536","false","-1","N/A",,"false","1758536","false",,"false",,"849847","849847","0","true","false",
"C","A","19910101","1991","52","1991","170","COL","Colombia","X","Export","0","W00","World","0","W00","World","H0","HS","true","0702","Tomatoes; fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1260914","false","-1","N/A",,"false","1260914","false",,"false",,"426773","426773","0","true","false",
"C","A","19910101","1991","52","1991","152","CHL","Chile","X","Export","0","W00","World","0","W00","World","H0","HS","true","0703","Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","79944616","false","-1","N/A",,"false","79944616","false",,"false",,"22554524","22554524","0","true","false",
"C","A","19910101","1991","52","1991","170","COL","Colombia","X","Export","0","W00","World","0","W00","World","H0","HS","true","0703","Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2328488","false","-1","N/A",,"false","2328488","false",,"false",,"1888870","1888870","0","true","false",
"C","A","19910101","1991","52","1991","152","CHL","Chile","X","Export","0","W00","World","0","W00","World","H0","HS","true","0704","Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","119803","false","-1","N/A",,"false","119803","false",,"false",,"36475","36475","0","true","false",
"C","A","19910101","1991","52","1991","170","COL","Colombia","X","Export","0","W00","World","0","W00","World","H0","HS","true","0704","Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","51238","false","-1","N/A",,"false","51238","false",,"false",,"20403","20403","0","true","false",
"C","A","19910101","1991","52","1991","152","CHL","Chile","X","Export","0","W00","World","0","W00","World","H0","HS","true","0705","Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","8330","false","-1","N/A",,"false","8330","false",,"false",,"26690","26690","0","true","false",
"C","A","19910101","1991","52","1991","152","CHL","Chile","X","Export","0","W00","World","0","W00","World","H0","HS","true","0706","Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots; fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","334057","false","-1","N/A",,"false","334057","false",,"false",,"53345","53345","0","true","false",
"C","A","19910101","1991","52","1991","170","COL","Colombia","X","Export","0","W00","World","0","W00","World","H0","HS","true","0706","Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots; fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","766449","false","-1","N/A",,"false","766449","false",,"false",,"144490","144490","0","true","false",
"C","A","19910101","1991","52","1991","152","CHL","Chile","X","Export","0","W00","World","0","W00","World","H0","HS","true","0707","Cucumbers and gherkins; fresh or chilled","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","44740","false","-1","N/A",,"false","44740","false",,"false",,"19998","19998","0","true","false",
