Country Name,Country Code,Time,Time Code,"Foreign direct investment, net inflows (BoP, current US$) [BX.KLT.DINV.CD.WD]"
Mexico,MEX,1990,YR1990,2634000000
Mexico,MEX,1991,YR1991,4762000000
Mexico,MEX,1992,YR1992,4393000000
Mexico,MEX,1993,YR1993,4389000000
Mexico,MEX,1994,YR1994,10972500000
Mexico,MEX,1995,YR1995,9526290000
Mexico,MEX,1996,YR1996,9185600000
Mexico,MEX,1997,YR1997,12829800000
Mexico,MEX,1998,YR1998,12756764558
Mexico,MEX,1999,YR1999,13941043232
Mexico,MEX,2000,YR2000,18382284821
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 04/08/2026,,,,
