typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","19920101","1992","52","1992","-2","-2","ALL","X","Export","0","W00","World","0","W00","World","GG","GG","true","1501","Lard; other pig fat and poultry fat, rendered, whether or not pressed or solvent-extracted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","n/a",,"false","-1","n/a",,"false","397547853","false",,"false",,"161092839","161092839","0","true","false",
"C","A","19920101","1992","52","1992","-2","-2","ALL","X","Export","0","W00","World","0","W00","World","GG","GG","true","1502","Fats of bovine animals, sheep or goats; raw or rendered, whether or not pressed or solvent-extracted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","n/a",,"false","-1","n/a",,"false","2001496592","false",,"false",,"675595446","675595446","0","true","false",
"C","A","19920101","1992","52","1992","-2","-2","ALL","X","Export","0","W00","World","0","W00","World","GG","GG","true","1504","Fats and oils and their fractions of fish or marine mammals; whether or not refined, but not chemically modified","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","n/a",,"false","-1","n/a",,"false","423668309","false",,"false",,"191430417","191430417","0","true","false",
"C","A","19920101","1992","52","1992","-2","-2","ALL","X","Export","0","W00","World","0","W00","World","GG","GG","true","1507","Soya-bean oil and its fractions; whether or not refined, but not chemically modified","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","n/a",,"false","-1","n/a",,"false","2532823310","false",,"false",,"1209978349","1209978349","0","true","false",
"C","A","19920101","1992","52","1992","-2","-2","ALL","X","Export","0","W00","World","0","W00","World","GG","GG","true","1509","Olive oil and its fractions; whether or not refined, but not chemically modified","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","n/a",,"false","-1","n/a",,"false","449302215","false",,"false",,"1139159747","1139159747","0","true","false",
"C","A","19920101","1992","52","1992","-2","-2","ALL","X","Export","0","W00","World","0","W00","World","GG","GG","true","1511","Palm oil and its fractions; whether or not refined, but not chemically modified","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","n/a",,"false","-1","n/a",,"false","6147523955","false",,"false",,"2446682062","2446682062","0","true","false",
"C","A","19920101","1992","52","1992","-2","-2","ALL","X","Export","0","W00","World","0","W00","World","GG","GG","true","1515","Fixed vegetable fats and oils (including jojoba oil) and their fractions, whether or not refined; but not chemically modified","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","n/a",,"false","-1","n/a",,"false","651188364","false",,"false",,"590539203","590539203","0","true","false",
"C","A","19920101","1992","52","1992","-2","-2","ALL","X","Export","0","W00","World","0","W00","World","GG","GG","true","1516","Animal or vegetable fats and oils and their fractions; partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinised, whether or not refined, but not further prepared","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","n/a",,"false","-1","n/a",,"false","1510210831","false",,"false",,"866255388","866255388","0","true","false",
"C","A","19920101","1992","52","1992","-2","-2","ALL","X","Export","0","W00","World","0","W00","World","GG","GG","true","1520","Glycerol (glycerine); whether or not pure, glycerol waters and glycerol lyes","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","n/a",,"false","-1","n/a",,"false","246657783","false",,"false",,"252033574","252033574","0","true","false",
"C","A","19920101","1992","52","1992","-2","-2","ALL","X","Export","0","W00","World","0","W00","World","GG","GG","true","1521","Vegetable waxes (other than triglycerides), beeswax, other insect waxes and spermaceti; whether or not refined or coloured","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","n/a",,"false","-1","n/a",,"false","22760843","false",,"false",,"54606574","54606574","0","true","false",
"C","A","19930101","1993","52","1993","-2","-2","ALL","X","Export","0","W00","World","0","W00","World","GG","GG","true","1501","Lard; other pig fat and poultry fat, rendered, whether or not pressed or solvent-extracted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","n/a",,"false","-1","n/a",,"false","404963092","false",,"false",,"159230651","159230651","0","true","false",
"C","A","19930101","1993","52","1993","-2","-2","ALL","X","Export","0","W00","World","0","W00","World","GG","GG","true","1502","Fats of bovine animals, sheep or goats; raw or rendered, whether or not pressed or solvent-extracted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","n/a",,"false","-1","n/a",,"false","1911413360","false",,"false",,"688983634","688983634","0","true","false",
"C","A","19930101","1993","52","1993","-2","-2","ALL","X","Export","0","W00","World","0","W00","World","GG","GG","true","1504","Fats and oils and their fractions of fish or marine mammals; whether or not refined, but not chemically modified","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","n/a",,"false","-1","n/a",,"false","489922645","false",,"false",,"211505404","211505404","0","true","false",
"C","A","19930101","1993","52","1993","-2","-2","ALL","X","Export","0","W00","World","0","W00","World","GG","GG","true","1507","Soya-bean oil and its fractions; whether or not refined, but not chemically modified","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","n/a",,"false","-1","n/a",,"false","3782864012","false",,"false",,"1779618629","1779618629","0","true","false",
